"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",191,0.588966841142884,3.07180155726057,2.74253365509535e-24,1.37126682754767e-22,1.06814468672135e-22,1755,"tags=51%, list=16%, signal=44%","Rad51ap1/Mthfd2/Mybl2/E2f8/Hmgb2/Asf1b/Espl1/Mad2l1/Diaph3/Hells/Kif4/Cit/Cdca8/Cdca3/Plk1/Dlgap5/Tfrc/Ccnb2/Cenpm/Chek1/Trip13/Plk4/Tacc3/Brca1/Orc6/Mcm5/Cenpe/Spc25/Smc4/Aurkb/Dctpp1/Melk/Ncapd2/Racgap1/Cks1b/Tk1/Top2a/Rrm2/Lyar/Pold2/Cdc20/Kif22/Depdc1a/Bard1/Birc5/Mki67/Cdkn3/Dek/Mcm4/Dnmt1/Mcm3/Tcf19/Naa38/Dck/Ranbp1/Rpa3/Spc24/Timeless/Kif2c/Tipin/Hmga1/Mms22l/Ube2s/Nme1/Pole/Ak2/Pold1/Cdkn2a/Aurka/Nup107/H2az1/Nap1l1/Mcm2/Nasp/Ezh2/Brca2/Atad2/Nolc1/Lig1/Cdk1/Rad50/Hmmr/Mre11a/Tbrg4/Dut/Cdc25a/Tra2b/Psmc3ip/Donson/Rfc1/Rnaseh2a/Anp32e/Psip1/Ssrp1/Ing3/Myc/Ilf3/Nudt21"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",191,0.446664450093519,2.32961256478842,7.87237205886836e-11,1.96809301471709e-09,1.53304087462173e-09,1826,"tags=46%, list=17%, signal=38%","Mybl2/Traip/Kif15/Espl1/Troap/Mad2l1/Gins2/Prc1/Tpx2/Kif4/Ndc80/Plk1/Ttk/Mt2/Ccnb2/Chek1/Plk4/Tacc3/Orc6/Mcm5/Cenpe/Cenpa/Smc4/Aurkb/Stil/Racgap1/Exo1/Cks1b/Bub1/Top2a/Pbk/Cdc20/Ube2c/Kif23/Nusap1/Ccna2/Kif22/Slc7a5/Bard1/Birc5/Chaf1a/Mki67/Cdkn3/Mcm3/Snrpd1/Kif2c/Cenpf/Kif20b/Hmgn2/Hmga1/Ccnf/Ube2s/Pole/Smc2/Aurka/Nek2/H2az1/Cdc45/Dbf4/Knl1/Mcm2/Nasp/Ezh2/Dtymk/Brca2/E2f2/Nolc1/Cdk1/Hira/Hmmr/Kif11/Cdc25a/Tra2b/Ccnd1/Incenp/Cdc6/Atf5/Upf1/Ncl/Myc/Slc7a1/Ilf3/E2f1/Dkc1/Hus1/Cdc25b/Kmt5a"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.548393147857278,-1.96593107677631,3.94978904321247e-05,0.000658298173868744,0.000512779630171443,1815,"tags=49%, list=17%, signal=41%","Ifngr2/Smurf2/Ski/Smad3/Bmpr1a/Tgfb1/Ctnnb1/Skil/Ppm1a/Smad7/Acvr1/Pmepa1/Xiap/Id2/Slc20a1/Bmpr2/Klf10/Furin/Smad6/Junb/Serpine1/Bmp2/Id3/Id1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.320409010104997,1.67353715259255,0.000166949737970005,0.00208687172462506,0.00162556323812899,2192,"tags=38%, list=21%, signal=31%","Rpl34/Snrpg/Mad2l1/Rpl14/Rpl22/Rpl18/Mcm5/Rps10/Snrpd2/Pold2/Cdc20/Ccna2/Cad/Nhp2/Rpl6/Rfc4/Dek/Lsm7/Mcm4/Rps5/Snrpd1/Eef1b2/Rps6/Ranbp1/Hdgf/Ssbp1/Rrm1/Hspe1/Nme1/Kars/Rplp0/Got2/H2az1/Cdc45/Pole3/Impdh2/Rps2/Mrpl23/Nap1l1/Ppia/Mcm2/Rps3/Rnps1/Nolc1/Serbp1/Rrp9/Rack1/Ube2l3/Tomm70a/Dut/Gnl3/Tra2b/Srm/Snrpb2/Myc/Tyms/Cox5a/Ddx18/Npm1/C1qbp/Hsp90ab1/Erh/Phb2/Tufm/Mcm6/Ruvbl2/Cct7/Psma7/Etf1/Acp1/Mrpl9/Lsm2/Ndufab1/Psmd8/Sf3b3/Snrpa1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",94,0.370604523100598,1.71266824614493,0.000998499474134612,0.00998499474134612,0.00777778537746961,1143,"tags=26%, list=11%, signal=23%","Icam1/Gbp2/Srgn/B2m/Tap1/Il1b/Cd74/Csf1/Ptpn6/Prkcg/H2-M3/Rpl39/Rps19/Tap2/Brca1/Stab1/Il11/Rps9/Rps3a1/Psmb10/Nme1/Cdkn2a/Rpl9/Il15"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.334045495434613,-1.45374579828293,0.00792792792792793,0.0660660660660661,0.0514619883040936,2246,"tags=38%, list=21%, signal=31%","Jun/Sat1/Gem/Bhlhe40/Litaf/Egr1/Ier3/Kdm6b/Ifngr2/Marcks/Smad3/Tnfaip8/Clcf1/Rigi/Cebpd/Lif/Klf6/Snn/Phlda1/Fos/Ifih1/Zfp36/Btg2/Plpp3/Klf2/B4galt5/Traf1/Gadd45a/Pmepa1/Tank/Pfkfb3/F2rl1/Id2/Klf10/Cxcl10/Cebpb/Mxd1/Nfkbie/Dusp5/Hes1/Trib1/Atf3/Btg1/Sik1/Cd44/Junb/Egr2/Tsc22d1/B4galt1/Rhob/Gch1/Lamb3/Socs3/Fjx1/Serpine1/Ier5/Jag1/Vegfa/Ier2/Bmp2/Egr3/Inhba"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",71,-0.389962962786422,-1.49698802688274,0.0153241650294695,0.109458321639068,0.0852622715925373,1965,"tags=37%, list=18%, signal=30%","Mmp11/Capn5/Trf/Hnf4a/Lamp2/Klf7/Rabif/Cfb/Sh2b2/Ctsb/Bmp1/Ctse/Dusp6/Capn2/Furin/Ctsh/Anxa1/C2/Clu/Itgb3/Proc/Fn1/Serpine1/Pdgfb/Cpn1/Apoc2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",117,0.289979723016505,1.39936736624841,0.0231971759959657,0.137864222371265,0.107388973215511,869,"tags=18%, list=8%, signal=17%","Dab2/Vcan/Cxcl3/Col16a1/Thbs1/Cxcl2/Prrx1/Cxcl1/Col3a1/Cxcl5/Tnc/Col4a2/Snai2/Dpysl3/Col4a1/Vcam1/Lgals1/Fbln1/Pcolce/Calu/Tnfaip3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",195,0.251283601839396,1.31113803616153,0.0248155600268276,0.137864222371265,0.107388973215511,2087,"tags=32%, list=20%, signal=26%","Ndufa2/Bdh2/Ndufa5/Cox7a2/Ndufa1/Atp5l/Cox17/Atp5o/Ndufa3/Ndufb4/Ndufb1/Cox7b/Cox7c/Atp5e/Slc25a4/Cox6b1/Cox4i1/Ndufc1/Ndufa4/Uqcr11/Ndufs6/Atp5k/Uqcrq/Cox5b/Ndufb7/Ndufa7/Atp5j2/Got2/Cox6a1/Atp5j/Ndufb6/Uqcr10/Cycs/Uqcrh/Fdx1/Ndufc2/Ndufb2/Cox6c/Ndufb5/Mrpl35/Afg3l2/Tomm70a/Hspa9/Cox7a2l/Polr2f/Retsat/Timm8b/Uqcrb/Alas1/Etfa/Slc25a12/Atp5g1/Etfdh/Cox5a/Ndufb3/Phb2/Cox8a/Mgst3/Atp1b1/Timm13/Acadm/Casp7/Etfb"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",24,0.45854106134839,1.56230777438907,0.0329444063143445,0.150712877641773,0.117397399426223,260,"tags=21%, list=2%, signal=20%","Vcan/Pglyrp1/Col3a1/Cxcl5/S100a4"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",104,-0.338734907099809,-1.38796358569994,0.0331568330811901,0.150712877641773,0.117397399426223,715,"tags=18%, list=7%, signal=17%","Gabbr1/Cxcl10/Mxd1/Ifitm1/Lpar1/Adm/Il4ra/Cd55/Rtp4/Itgb3/Irf7/Gch1/Ahr/Serpine1/Tpbg/Inhba/Has2/Ccl7/Pcdh7"
